h1|h1|H
h2|h2|H
h3|h3|H
h4|h4|H
h5|h5|H
ha|ha|H
hc|hc|H
hn|hn|H
ho|ho|H
hp|hp|H
hs|hs|H
hw|hw|H
hf|hf|H
hcl|hcl|H
hbr|hbr|H
hi|hi|H
Be2+|Be2+|Be2+
c1|c1|C
cg|c1|C
ch|c1|C
c2|c2|C
c|c2|C
ca|c2|C
cq|c2|C
cp|c2|C
cc|c2|C
cd|c2|C
ce|c2|C
cf|c2|C
cm|c2|C
cu|c2|C
cv|c2|C
cz|c2|C
c3|c3|C
cx|c3|C
cy|c3|C
n1|n1|N
n2|n2|N
n|n2|N
na|n2|N
nb|n2|N
nc|n2|N
nd|n2|N
ne|n2|N
nf|n2|N
no|n2|N
n3|n3|N
nh|n3|N
n4|n4|N
o1|o1|O
o2|o2|O
o|o2|O
on|o2|O
om|o2|O
o3|o3|O
oh|o3|O
ow|ow|O
os|o3|O
f|f|F
Mg2+|Mg2+|Mg2+
p1|p1|P
p2|p2|P
p4|p2|P
pb|p2|P
pc|p2|P
pd|p2|P
pe|p2|P
pf|p2|P
px|p2|P
p3|p3|P
p5|p3|P
p6|p3|P
p7|p3|P
py|p3|P
s1|s1|S
s2|s2|S
st|s2|S
s|s2|S
s3|s3|S
s4|s3|S
s6|s3|S
s7|s3|S
s8|s3|S
sh|s3|S
ss|s3|S
sx|s3|S
sy|s3|S
cl|cl|Cl
Ca2+|Ca2+|Ca2+
br|br|Br
i|i|I
Na+|Na+|Na+
Na|Na+|Na
Cl-|Cl-|Cl-
I-|I-|I-
F-|F-|F-
Rb+|Rb+|Rb+
Li+|Li+|Li+
Br-|Br-|Br--
Cs+|Cs+|Cs-
K+|K+|K+
v2|v2|0
He|He|He
Ne|Ne|Ne
Ar|Ar|Ar
Kr|Kr|Kr
Xe|Xe|Xe
